source,metric,direction,targets,pb_qed,pb_rc_select,delta,ci_low,ci_high,wilcoxon_p,fdr_q_confirmatory_family
BindingMOAD_holdout100,after_redock_dock_fast,higher,100,0.26,0.3525,0.0925,0.05243750000000002,0.1375,8.54035189976971e-05,0.0005337719937356069
BindingMOAD_holdout100,gnina_affinity,lower,100,-2.595932500000001,-3.190650625,-0.5947181250000001,-1.1498361499999996,-0.05517977812499993,0.37688545729469336,0.6730097451690954
BindingMOAD_holdout100,gnina_cnnscore,higher,100,0.6510336422924999,0.6580847716327498,0.007051129340249996,-0.005547930642950003,0.02024563283707496,0.6474574389756316,0.7514008183161327
BindingMOAD_holdout100,gnina_cnnaffinity,higher,100,4.09238411784225,3.9942967501239997,-0.09808736771825,-0.16887038454368117,-0.030386430841287525,0.016551932705929733,0.06896638627470722
BindingMOAD_holdout100,redock_rmsd,lower,100,0.7448909703919465,0.7041422738798175,-0.04074869651212903,-0.08318828399441397,-0.00038323411473280657,0.15163463740335387,0.3446241759167133
DiffSBDD_official,after_redock_dock_fast,higher,100,0.7825,0.93,0.1475,0.1,0.1975,1.1045462924272287e-07,1.3806828655340358e-06
DiffSBDD_official,gnina_affinity,lower,100,-5.89419895,-6.3149313000000005,-0.4207323499999999,-0.872106084375,-0.017378592500000192,0.03446663167697859,0.10770822399055809
DiffSBDD_official,gnina_cnnscore,higher,100,0.69604510795225,0.69617889432225,0.00013378637000000692,-0.015425860276674992,0.015225056900731244,0.8878926004885652,0.9248881255089221
DiffSBDD_official,gnina_cnnaffinity,higher,100,5.407658151985,5.368444251418249,-0.03921390056675003,-0.12598621333970633,0.04726184773428741,0.5450825418754992,0.7441813288493798
DiffSBDD_official,redock_rmsd,lower,100,1.129429746298989,1.0963466505869275,-0.03308309571206175,-0.10163595055263612,0.0357440129928472,0.2132517564117422,0.4442744925244629
Pocket2Mol_transfer,after_redock_dock_fast,higher,53,0.8160377358490566,0.9622641509433962,0.14622641509433962,0.08962264150943396,0.21226415094339623,4.00876085712131e-05,0.00033406340476010917
Pocket2Mol_transfer,gnina_affinity,lower,53,-4.360444575471699,-3.9997678301886794,0.36067674528301885,0.06746610731132083,0.734585930424528,0.027191006454614922,0.09711073733791044
Pocket2Mol_transfer,gnina_cnnscore,higher,53,0.773830467101415,0.7571807936679246,-0.016649673433490567,-0.03242686359510613,-0.0011233364192688629,0.013020778497332392,0.06510389248666196
Pocket2Mol_transfer,gnina_cnnaffinity,higher,53,3.7566009343816043,3.716613938223585,-0.03998699615801889,-0.1244152729568162,0.03780019277512972,0.6612327201181968,0.7514008183161327
Pocket2Mol_transfer,redock_rmsd,lower,53,0.5524608273632972,0.5867412509221988,0.03428042355890168,-0.018836319882353486,0.08805750542651439,0.3279603393620374,0.6306929603116104
PocketFlow,after_redock_dock_fast,higher,100,0.84,0.9525,0.1125,0.0775,0.1475,4.3037805753008854e-08,1.0759451438252213e-06
PocketFlow,gnina_affinity,lower,100,-6.107889924999999,-5.982505924999998,0.125384,-0.23820184187499993,0.5539089825,0.9369678210300386,0.9369678210300385
PocketFlow,gnina_cnnscore,higher,100,0.655898780785,0.6522450741577501,-0.003653706627249998,-0.022406725577849996,0.014678392196031238,0.4639469189039841,0.7249170607874752
PocketFlow,gnina_cnnaffinity,higher,100,4.556948428751251,4.596080210805249,0.03913178205399999,-0.08424845071070002,0.16235264466686236,0.5542578843858728,0.7441813288493798
PocketFlow,redock_rmsd,lower,100,0.9259355279798683,0.968340947470456,0.04240541949058743,-0.04726268439127515,0.13387713084316608,0.61809143216358,0.7514008183161327
SYNC-Guide,after_redock_dock_fast,higher,50,0.9283333333333332,0.9583333333333333,0.03,0.005,0.06,0.057779571123597204,0.1604988086766589
SYNC-Guide,gnina_affinity,lower,50,-6.8389082000000005,-6.906089800000001,-0.06718160000000012,-0.5527627675000001,0.5049203312499998,0.07719592312590784,0.1929898078147696
SYNC-Guide,gnina_cnnscore,higher,50,0.7422058451024999,0.74824930287,0.006043457767499991,-0.006699788281116676,0.01893197228861664,0.4490067617286915,0.7249170607874752
SYNC-Guide,gnina_cnnaffinity,higher,50,5.6035399738928335,5.587914369503166,-0.015625604389666668,-0.09923850784937088,0.06524316542476247,0.5655778099255286,0.7441813288493798
SYNC-Guide,redock_rmsd,lower,50,0.9588268792935036,0.9637094820501275,0.004882602756623982,-0.0641019856109464,0.07229604091852636,0.8482444441392172,0.9220048305861057
