setting,policy,mode,seeds,targets_mean,coverage_mean,coverage_std,dock_fast_mean,dock_fast_std,failure_mean,risk_gt_0_5_mean,qed_mean,threshold_mean
DiffSBDD_target_heldout,constrained_lambdamart,fixed_top1,5,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6381338021648093,
DiffSBDD_target_heldout,constrained_lambdamart,selective_alpha10,5,20.0,0.89,0.11401754250991378,1.0,0.0,0.0,0.0,0.6595851529851705,6.736008505667731
DiffSBDD_target_heldout,constrained_xgbrank,fixed_top1,5,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6426503447726193,
DiffSBDD_target_heldout,constrained_xgbrank,selective_alpha10,5,20.0,0.93,0.0670820393249937,1.0,0.0,0.0,0.0,0.6479784597562119,2.752649164199829
DiffSBDD_target_heldout,pb_lambdamart,fixed_top1,5,20.0,1.0,0.0,1.0,0.0,0.0,0.01,0.641191974295815,
DiffSBDD_target_heldout,pb_lambdamart,selective_alpha10,5,20.0,0.89,0.11401754250991378,1.0,0.0,0.0,0.0,0.6577678732680085,6.8397573568724255
DiffSBDD_target_heldout,pb_rc,fixed_top1,5,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5318425672056264,
DiffSBDD_target_heldout,pb_rc,selective_alpha10,5,20.0,0.96,0.0651920240520265,1.0,0.0,0.0,0.0,0.5313631021498996,0.8987916354792539
DiffSBDD_target_heldout,pb_xgbrank,fixed_top1,5,20.0,1.0,0.0,1.0,0.0,0.0,0.01,0.6422699002726284,
DiffSBDD_target_heldout,pb_xgbrank,selective_alpha10,5,20.0,0.93,0.0670820393249937,1.0,0.0,0.0,0.0,0.6479784597562119,2.778895378112793
DiffSBDD_to_Pocket2Mol,constrained_lambdamart,fixed_top1,5,53.0,1.0,0.0,1.0,0.0,0.0,0.07924528301886793,0.5060136834751718,
DiffSBDD_to_Pocket2Mol,constrained_lambdamart,selective_alpha10,5,53.0,0.679245283018868,0.17649327296103504,1.0,0.0,0.0,0.0,0.531280986178239,6.736008505667731
DiffSBDD_to_Pocket2Mol,constrained_xgbrank,fixed_top1,5,53.0,1.0,0.0,1.0,0.0,0.0,0.07924528301886793,0.5127736197263844,
DiffSBDD_to_Pocket2Mol,constrained_xgbrank,selective_alpha10,5,53.0,0.769811320754717,0.2335358256115593,1.0,0.0,0.0,0.00425531914893617,0.5310332934684738,2.752649164199829
DiffSBDD_to_Pocket2Mol,pb_lambdamart,fixed_top1,5,53.0,1.0,0.0,1.0,0.0,0.0,0.07924528301886793,0.5066271070558956,
DiffSBDD_to_Pocket2Mol,pb_lambdamart,selective_alpha10,5,53.0,0.679245283018868,0.17649327296103504,1.0,0.0,0.0,0.0,0.5312633877215572,6.8397573568724255
DiffSBDD_to_Pocket2Mol,pb_rc,fixed_top1,5,53.0,1.0,0.0,1.0,0.0,0.0,0.07547169811320754,0.47971527792436464,
DiffSBDD_to_Pocket2Mol,pb_rc,selective_alpha10,5,53.0,0.6452830188679245,0.19167434112000448,1.0,0.0,0.0,0.0,0.479342358581804,0.8987916354792539
DiffSBDD_to_Pocket2Mol,pb_xgbrank,fixed_top1,5,53.0,1.0,0.0,1.0,0.0,0.0,0.07924528301886793,0.5143237976731403,
DiffSBDD_to_Pocket2Mol,pb_xgbrank,selective_alpha10,5,53.0,0.769811320754717,0.2335358256115593,1.0,0.0,0.0,0.00425531914893617,0.5318341260344593,2.778895378112793
Pocket2Mol_target_heldout,constrained_lambdamart,fixed_top1,5,12.0,1.0,0.0,1.0,0.0,0.0,0.05,0.4926264202782634,
Pocket2Mol_target_heldout,constrained_lambdamart,selective_alpha10,5,12.0,0.9833333333333334,0.037267799624996496,1.0,0.0,0.0,0.03333333333333333,0.4910945295532348,3.1021277297586205
Pocket2Mol_target_heldout,constrained_xgbrank,fixed_top1,5,12.0,1.0,0.0,1.0,0.0,0.0,0.05,0.48256879371144495,
Pocket2Mol_target_heldout,constrained_xgbrank,selective_alpha10,5,12.0,0.9666666666666666,0.04564354645876386,1.0,0.0,0.0,0.051515151515151514,0.480142803200079,1.9926175057888031
Pocket2Mol_target_heldout,pb_lambdamart,fixed_top1,5,12.0,1.0,0.0,1.0,0.0,0.0,0.18333333333333332,0.478520152765468,
Pocket2Mol_target_heldout,pb_lambdamart,selective_alpha10,5,12.0,0.9666666666666666,0.04564354645876385,1.0,0.0,0.0,0.15303030303030302,0.4729755608022767,3.166632538417989
Pocket2Mol_target_heldout,pb_rc,fixed_top1,5,12.0,1.0,0.0,1.0,0.0,0.0,0.03333333333333333,0.4848691244887382,
Pocket2Mol_target_heldout,pb_rc,selective_alpha10,5,12.0,0.95,0.07453559924999299,1.0,0.0,0.0,0.016666666666666666,0.4858666703693926,0.2722520257965904
Pocket2Mol_target_heldout,pb_xgbrank,fixed_top1,5,12.0,1.0,0.0,1.0,0.0,0.0,0.35,0.4741330887332761,
Pocket2Mol_target_heldout,pb_xgbrank,selective_alpha10,5,12.0,0.95,0.07453559924999298,1.0,0.0,0.0,0.3624242424242424,0.47641200163083103,2.0064060628414153
Pocket2Mol_to_DiffSBDD,constrained_lambdamart,fixed_top1,5,100.0,1.0,0.0,0.998,0.004472135954999583,0.0020000000000000018,0.0,0.5021842706049727,
Pocket2Mol_to_DiffSBDD,constrained_lambdamart,selective_alpha10,5,100.0,0.994,0.013416407864998738,0.998,0.004472135954999583,0.0020000000000000018,0.0,0.5010234650167231,3.1021277297586205
Pocket2Mol_to_DiffSBDD,constrained_xgbrank,fixed_top1,5,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.553651759423004,
Pocket2Mol_to_DiffSBDD,constrained_xgbrank,selective_alpha10,5,100.0,0.9640000000000001,0.06985699678629194,1.0,0.0,0.0,0.0,0.5533078152341103,1.9926175057888031
Pocket2Mol_to_DiffSBDD,pb_lambdamart,fixed_top1,5,100.0,1.0,0.0,0.986,0.011401754250991384,0.014000000000000012,0.20800000000000002,0.508752854122072,
Pocket2Mol_to_DiffSBDD,pb_lambdamart,selective_alpha10,5,100.0,0.9960000000000001,0.008944271909999166,0.9859591836734694,0.011384206893642232,0.014040816326530625,0.20657142857142857,0.5071084598415441,3.166632538417989
Pocket2Mol_to_DiffSBDD,pb_rc,fixed_top1,5,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5160224273645745,
Pocket2Mol_to_DiffSBDD,pb_rc,selective_alpha10,5,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5160224273645745,0.2722520257965904
Pocket2Mol_to_DiffSBDD,pb_xgbrank,fixed_top1,5,100.0,1.0,0.0,0.9960000000000001,0.0054772255750516865,0.0040000000000000036,0.20800000000000002,0.5484131208701134,
Pocket2Mol_to_DiffSBDD,pb_xgbrank,selective_alpha10,5,100.0,0.966,0.0705691150575094,0.995979797979798,0.005505004169946783,0.0040202020202020124,0.21024242424242426,0.5471502962992668,2.0064060628414153
