source,policy,n,targets,reach_k,dock_pose_pass,protein_pass,intramol_pass,risk_mean,risk_gt_0_5,qed_mean
DiffSBDD_official,diverse_qed,1000,100,1.0,0.72,0.967,0.737,0.12085600386307778,0.038,0.739312135957901
DiffSBDD_official,diverse_rc,980,100,0.96,0.7214285714285714,0.9846938775510204,0.7285714285714285,0.08100711225910302,0.0,0.7154841139809782
DiffSBDD_official,pareto_qed_risk,1000,100,1.0,0.695,0.956,0.724,0.12397788635917956,0.069,0.7084882727407885
DiffSBDD_official,pb_pareto_qed_risk,1000,100,1.0,0.953,0.953,1.0,0.13029258112605613,0.067,0.6876906053616734
DiffSBDD_official,pb_qed,1000,100,1.0,0.798,0.798,1.0,0.3958543518271247,0.357,0.765375581858983
DiffSBDD_official,pb_qed_minus_risk,1000,100,1.0,0.974,0.974,1.0,0.09826394287430312,0.021,0.6870772946512145
DiffSBDD_official,pb_rc_select,1000,100,1.0,0.967,0.967,1.0,0.11609549266044679,0.02,0.68673845554119
DiffSBDD_official,pb_weighted_qed_risk_1_00,1000,100,1.0,0.974,0.974,1.0,0.09826394287430312,0.021,0.6870772946512145
DiffSBDD_official,qed,1000,100,1.0,0.582,0.783,0.706,0.41790470709384964,0.385,0.7915229865141549
DiffSBDD_official,qed_minus_risk,1000,100,1.0,0.72,0.981,0.73,0.08467777607242306,0.014,0.7147521055497816
DiffSBDD_official,rc_select,1000,100,1.0,0.705,0.972,0.717,0.10940554702621351,0.014,0.7197463490382854
DiffSBDD_official,risk,1000,100,1.0,0.614,0.977,0.624,0.03627966366796314,0.011,0.46654328597563516
DiffSBDD_official,weighted_qed_risk_0_25,1000,100,1.0,0.682,0.925,0.728,0.20073706420824333,0.125,0.7679694685390229
DiffSBDD_official,weighted_qed_risk_0_50,1000,100,1.0,0.717,0.967,0.736,0.12072592677207314,0.037,0.7396251503428396
DiffSBDD_official,weighted_qed_risk_1_00,1000,100,1.0,0.72,0.981,0.73,0.08467777607242306,0.014,0.7147521055497816
DiffSBDD_official,weighted_qed_risk_2_00,1000,100,1.0,0.714,0.988,0.718,0.062432908795401545,0.011,0.6835919856986211
Pocket2Mol_transfer,diverse_qed,212,53,1.0,0.8679245283018868,0.9622641509433962,0.9056603773584906,0.25096384104794456,0.1509433962264151,0.5251895148647008
Pocket2Mol_transfer,diverse_rc,191,53,0.7924528301886793,0.8848167539267016,0.9685863874345549,0.9162303664921466,0.20255849810334675,0.09947643979057591,0.5109783097449674
Pocket2Mol_transfer,pareto_qed_risk,212,53,1.0,0.8820754716981132,0.9433962264150944,0.9386792452830188,0.2782503063060647,0.19339622641509435,0.5274038129666004
Pocket2Mol_transfer,pb_pareto_qed_risk,212,53,1.0,0.9339622641509434,0.9339622641509434,1.0,0.28593394389066734,0.20754716981132076,0.5237706256342017
Pocket2Mol_transfer,pb_qed,212,53,1.0,0.8160377358490566,0.8160377358490566,1.0,0.5539267992955781,0.5613207547169812,0.5664496553320997
Pocket2Mol_transfer,pb_qed_minus_risk,212,53,1.0,0.9669811320754716,0.9669811320754716,1.0,0.23296485312150234,0.1320754716981132,0.5092717365124859
Pocket2Mol_transfer,pb_rc_select,212,53,1.0,0.9669811320754716,0.9669811320754716,1.0,0.24568081317856014,0.1320754716981132,0.5073098994848081
Pocket2Mol_transfer,pb_weighted_qed_risk_1_00,212,53,1.0,0.9669811320754716,0.9669811320754716,1.0,0.23296485312150234,0.1320754716981132,0.5092717365124859
Pocket2Mol_transfer,qed,212,53,1.0,0.7452830188679245,0.8254716981132075,0.9150943396226415,0.547421858920522,0.5471698113207547,0.5714755981692446
Pocket2Mol_transfer,qed_minus_risk,212,53,1.0,0.910377358490566,0.9716981132075472,0.9386792452830188,0.22538350344155247,0.1179245283018868,0.5151108609436582
Pocket2Mol_transfer,rc_select,212,53,1.0,0.8962264150943396,0.9716981132075472,0.9245283018867925,0.2406793767955891,0.1179245283018868,0.5141501986169137
Pocket2Mol_transfer,risk,212,53,1.0,0.9245283018867925,0.9905660377358491,0.9339622641509434,0.21061474646973452,0.1179245283018868,0.47735277678914184
Pocket2Mol_transfer,weighted_qed_risk_0_25,212,53,1.0,0.8773584905660378,0.9528301886792453,0.9245283018867925,0.2907359118731909,0.20754716981132076,0.5441532061258646
Pocket2Mol_transfer,weighted_qed_risk_0_50,212,53,1.0,0.8915094339622641,0.9622641509433962,0.9292452830188679,0.24591209726500082,0.14622641509433962,0.5281464485671189
Pocket2Mol_transfer,weighted_qed_risk_1_00,212,53,1.0,0.910377358490566,0.9716981132075472,0.9386792452830188,0.22538350344155247,0.1179245283018868,0.5151108609436582
Pocket2Mol_transfer,weighted_qed_risk_2_00,212,53,1.0,0.910377358490566,0.9764150943396226,0.9339622641509434,0.21537885777484658,0.1179245283018868,0.5023643394256007
