block,metric,baseline,method,targets,baseline_mean,method_mean,delta_method_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,cliffs_delta,desired_direction,fdr_q_p0_family
molcraft_crossdock_t100,dock_fast,pb_qed,pb_rc_select,100,0.995,0.9975,0.0025,0.0,0.0075,0.31731050786291415,0.01,higher,0.380772609435497
molcraft_crossdock_t100,protein_pass,pb_qed,pb_rc_select,100,0.995,0.9975,0.0025,0.0,0.0075,0.31731050786291415,0.01,higher,0.380772609435497
molcraft_crossdock_t100,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,1.0
molcraft_crossdock_t100,risk_prob,pb_qed,pb_rc_select,100,0.13370595719992712,0.06837521196847886,-0.06533074523144827,-0.09310339197378704,-0.041475606055015685,1.7343976283205784e-06,-0.132,lower,1.5609578654885204e-05
molcraft_crossdock_t100,risk_gt_0_5,pb_qed,pb_rc_select,100,0.0775,0.0,-0.0775,-0.1125,-0.0475,1.9222633536818895e-05,-0.22,lower,6.920148073254802e-05
molcraft_crossdock_t100,qed,pb_qed,pb_rc_select,100,0.6857413972402885,0.6654482701873025,-0.020293127052986134,-0.030542681592005384,-0.01183504717904238,1.7343976283205784e-06,-0.0878,higher,1.5609578654885204e-05
expdiff_official_t100,dock_fast,pb_qed,pb_rc_select,100,0.9875,0.9975,0.01,0.0,0.0225,0.10247043485974937,0.0202,higher,0.15370565228962405
expdiff_official_t100,protein_pass,pb_qed,pb_rc_select,100,0.9875,0.9975,0.01,0.0,0.0225,0.10247043485974937,0.0202,higher,0.15370565228962405
expdiff_official_t100,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,1.0
expdiff_official_t100,risk_prob,pb_qed,pb_rc_select,100,0.10387251611068611,0.06876398046323677,-0.035108535647449333,-0.05344207314101452,-0.019779233936234916,5.606116527496013e-06,-0.1277,lower,2.522752437373206e-05
expdiff_official_t100,risk_gt_0_5,pb_qed,pb_rc_select,100,0.0375,0.0,-0.0375,-0.0625,-0.0175,0.0021721536873098523,-0.11,lower,0.006516461061929556
expdiff_official_t100,qed,pb_qed,pb_rc_select,100,0.7724687294903332,0.7666035382374882,-0.005865191252845006,-0.008702869577311164,-0.0033698795777218934,5.606116527496013e-06,-0.0425,higher,2.522752437373206e-05
bindingmoad_task1_strict35_sensitivity,dock_fast,pb_qed,pb_rc_select,35,0.22857142857142856,0.2714285714285714,0.04285714285714286,0.014285714285714285,0.08571428571428572,0.03389485352468927,0.03346938775510204,higher,0.06101073634444067
bindingmoad_task1_strict35_sensitivity,protein_pass,pb_qed,pb_rc_select,35,0.22857142857142856,0.2714285714285714,0.04285714285714286,0.007142857142857143,0.08571428571428572,0.03389485352468927,0.03346938775510204,higher,0.06101073634444067
bindingmoad_task1_strict35_sensitivity,mol_fast,pb_qed,pb_rc_select,35,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,1.0
bindingmoad_task1_strict35_sensitivity,risk_prob,pb_qed,pb_rc_select,35,0.9805264679852325,0.9548723796920334,-0.025654088293198946,-0.049598994588393834,-0.007143468535350725,0.011718685599768628,-0.06857142857142857,lower,0.026367042599479414
bindingmoad_task1_strict35_sensitivity,risk_gt_0_5,pb_qed,pb_rc_select,35,0.9785714285714285,0.9642857142857143,-0.014285714285714285,-0.03571428571428571,0.0,0.15729920705028502,-0.02857142857142857,lower,0.2177989020696254
bindingmoad_task1_strict35_sensitivity,qed,pb_qed,pb_rc_select,35,0.6603900304763525,0.6495486090550326,-0.010841421421319821,-0.019546950085587652,-0.003691673075977241,0.011718685599768628,-0.09795918367346938,higher,0.026367042599479414
